number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: LDL
unsuccessful step! iteration = 2715 , error before = 19089.359213 , error next = 19089.359413 , error change = -0.000200 , lambda = 2.000000 , time consumption = 0.457934s

successful step! iteration = 2716 , error before = 19089.359213 , error next = 19089.359056 , error change = 0.000157 , lambda = 0.200000 , time consumption = 0.457399s

unsuccessful step! iteration = 2717 , error before = 19089.359056 , error next = 19089.359254 , error change = -0.000198 , lambda = 2.000000 , time consumption = 0.466371s

successful step! iteration = 2718 , error before = 19089.359056 , error next = 19089.358901 , error change = 0.000155 , lambda = 0.200000 , time consumption = 0.464116s

unsuccessful step! iteration = 2719 , error before = 19089.358901 , error next = 19089.359096 , error change = -0.000195 , lambda = 2.000000 , time consumption = 0.460546s

successful step! iteration = 2720 , error before = 19089.358901 , error next = 19089.358748 , error change = 0.000153 , lambda = 0.200000 , time consumption = 0.453725s

unsuccessful step! iteration = 2721 , error before = 19089.358748 , error next = 19089.358941 , error change = -0.000193 , lambda = 2.000000 , time consumption = 0.468797s

successful step! iteration = 2722 , error before = 19089.358748 , error next = 19089.358597 , error change = 0.000151 , lambda = 0.200000 , time consumption = 0.458183s

unsuccessful step! iteration = 2723 , error before = 19089.358597 , error next = 19089.358787 , error change = -0.000191 , lambda = 2.000000 , time consumption = 0.457707s

successful step! iteration = 2724 , error before = 19089.358597 , error next = 19089.358447 , error change = 0.000149 , lambda = 0.200000 , time consumption = 0.486430s

unsuccessful step! iteration = 2725 , error before = 19089.358447 , error next = 19089.358636 , error change = -0.000188 , lambda = 2.000000 , time consumption = 0.461006s

successful step! iteration = 2726 , error before = 19089.358447 , error next = 19089.358300 , error change = 0.000148 , lambda = 0.200000 , time consumption = 0.461904s

unsuccessful step! iteration = 2727 , error before = 19089.358300 , error next = 19089.358486 , error change = -0.000186 , lambda = 2.000000 , time consumption = 0.464786s

successful step! iteration = 2728 , error before = 19089.358300 , error next = 19089.358154 , error change = 0.000146 , lambda = 0.200000 , time consumption = 0.464927s

unsuccessful step! iteration = 2729 , error before = 19089.358154 , error next = 19089.358338 , error change = -0.000184 , lambda = 2.000000 , time consumption = 0.465581s

successful step! iteration = 2730 , error before = 19089.358154 , error next = 19089.358010 , error change = 0.000144 , lambda = 0.200000 , time consumption = 0.466532s

unsuccessful step! iteration = 2731 , error before = 19089.358010 , error next = 19089.358191 , error change = -0.000182 , lambda = 2.000000 , time consumption = 0.464735s

successful step! iteration = 2732 , error before = 19089.358010 , error next = 19089.357867 , error change = 0.000142 , lambda = 0.200000 , time consumption = 0.471467s

unsuccessful step! iteration = 2733 , error before = 19089.357867 , error next = 19089.358047 , error change = -0.000179 , lambda = 2.000000 , time consumption = 0.465980s

successful step! iteration = 2734 , error before = 19089.357867 , error next = 19089.357727 , error change = 0.000141 , lambda = 0.200000 , time consumption = 0.470967s

unsuccessful step! iteration = 2735 , error before = 19089.357727 , error next = 19089.357904 , error change = -0.000177 , lambda = 2.000000 , time consumption = 0.471762s

successful step! iteration = 2736 , error before = 19089.357727 , error next = 19089.357588 , error change = 0.000139 , lambda = 0.200000 , time consumption = 0.477560s

unsuccessful step! iteration = 2737 , error before = 19089.357588 , error next = 19089.357763 , error change = -0.000175 , lambda = 2.000000 , time consumption = 0.462346s

successful step! iteration = 2738 , error before = 19089.357588 , error next = 19089.357451 , error change = 0.000137 , lambda = 0.200000 , time consumption = 0.460930s

unsuccessful step! iteration = 2739 , error before = 19089.357451 , error next = 19089.357624 , error change = -0.000173 , lambda = 2.000000 , time consumption = 0.460954s

successful step! iteration = 2740 , error before = 19089.357451 , error next = 19089.357315 , error change = 0.000136 , lambda = 0.200000 , time consumption = 0.464060s

unsuccessful step! iteration = 2741 , error before = 19089.357315 , error next = 19089.357486 , error change = -0.000171 , lambda = 2.000000 , time consumption = 0.459741s

successful step! iteration = 2742 , error before = 19089.357315 , error next = 19089.357181 , error change = 0.000134 , lambda = 0.200000 , time consumption = 0.470786s

unsuccessful step! iteration = 2743 , error before = 19089.357181 , error next = 19089.357350 , error change = -0.000169 , lambda = 2.000000 , time consumption = 0.469192s

successful step! iteration = 2744 , error before = 19089.357181 , error next = 19089.357048 , error change = 0.000132 , lambda = 0.200000 , time consumption = 0.479812s

unsuccessful step! iteration = 2745 , error before = 19089.357048 , error next = 19089.357215 , error change = -0.000167 , lambda = 2.000000 , time consumption = 0.473325s

successful step! iteration = 2746 , error before = 19089.357048 , error next = 19089.356918 , error change = 0.000131 , lambda = 0.200000 , time consumption = 0.473431s

unsuccessful step! iteration = 2747 , error before = 19089.356918 , error next = 19089.357082 , error change = -0.000165 , lambda = 2.000000 , time consumption = 0.464210s

successful step! iteration = 2748 , error before = 19089.356918 , error next = 19089.356788 , error change = 0.000129 , lambda = 0.200000 , time consumption = 0.468674s

unsuccessful step! iteration = 2749 , error before = 19089.356788 , error next = 19089.356951 , error change = -0.000163 , lambda = 2.000000 , time consumption = 0.473192s

successful step! iteration = 2750 , error before = 19089.356788 , error next = 19089.356661 , error change = 0.000128 , lambda = 0.200000 , time consumption = 0.469798s

unsuccessful step! iteration = 2751 , error before = 19089.356661 , error next = 19089.356822 , error change = -0.000161 , lambda = 2.000000 , time consumption = 0.473796s

successful step! iteration = 2752 , error before = 19089.356661 , error next = 19089.356534 , error change = 0.000126 , lambda = 0.200000 , time consumption = 0.472036s

unsuccessful step! iteration = 2753 , error before = 19089.356534 , error next = 19089.356693 , error change = -0.000159 , lambda = 2.000000 , time consumption = 0.469020s

successful step! iteration = 2754 , error before = 19089.356534 , error next = 19089.356410 , error change = 0.000125 , lambda = 0.200000 , time consumption = 0.509016s

unsuccessful step! iteration = 2755 , error before = 19089.356410 , error next = 19089.356567 , error change = -0.000157 , lambda = 2.000000 , time consumption = 0.467426s

successful step! iteration = 2756 , error before = 19089.356410 , error next = 19089.356287 , error change = 0.000123 , lambda = 0.200000 , time consumption = 0.469068s

unsuccessful step! iteration = 2757 , error before = 19089.356287 , error next = 19089.356442 , error change = -0.000155 , lambda = 2.000000 , time consumption = 0.470233s

successful step! iteration = 2758 , error before = 19089.356287 , error next = 19089.356165 , error change = 0.000122 , lambda = 0.200000 , time consumption = 0.517709s

unsuccessful step! iteration = 2759 , error before = 19089.356165 , error next = 19089.356318 , error change = -0.000153 , lambda = 2.000000 , time consumption = 0.496727s

successful step! iteration = 2760 , error before = 19089.356165 , error next = 19089.356045 , error change = 0.000120 , lambda = 0.200000 , time consumption = 0.501386s

unsuccessful step! iteration = 2761 , error before = 19089.356045 , error next = 19089.356196 , error change = -0.000152 , lambda = 2.000000 , time consumption = 0.475183s

successful step! iteration = 2762 , error before = 19089.356045 , error next = 19089.355926 , error change = 0.000119 , lambda = 0.200000 , time consumption = 0.468475s

unsuccessful step! iteration = 2763 , error before = 19089.355926 , error next = 19089.356076 , error change = -0.000150 , lambda = 2.000000 , time consumption = 0.480705s

successful step! iteration = 2764 , error before = 19089.355926 , error next = 19089.355808 , error change = 0.000117 , lambda = 0.200000 , time consumption = 0.468453s

unsuccessful step! iteration = 2765 , error before = 19089.355808 , error next = 19089.355956 , error change = -0.000148 , lambda = 2.000000 , time consumption = 0.472767s

successful step! iteration = 2766 , error before = 19089.355808 , error next = 19089.355692 , error change = 0.000116 , lambda = 0.200000 , time consumption = 0.472871s

unsuccessful step! iteration = 2767 , error before = 19089.355692 , error next = 19089.355839 , error change = -0.000146 , lambda = 2.000000 , time consumption = 0.482885s

successful step! iteration = 2768 , error before = 19089.355692 , error next = 19089.355578 , error change = 0.000115 , lambda = 0.200000 , time consumption = 0.475720s

unsuccessful step! iteration = 2769 , error before = 19089.355578 , error next = 19089.355722 , error change = -0.000144 , lambda = 2.000000 , time consumption = 0.477237s

successful step! iteration = 2770 , error before = 19089.355578 , error next = 19089.355465 , error change = 0.000113 , lambda = 0.200000 , time consumption = 0.487158s

unsuccessful step! iteration = 2771 , error before = 19089.355465 , error next = 19089.355607 , error change = -0.000143 , lambda = 2.000000 , time consumption = 0.486506s

successful step! iteration = 2772 , error before = 19089.355465 , error next = 19089.355353 , error change = 0.000112 , lambda = 0.200000 , time consumption = 0.473327s

unsuccessful step! iteration = 2773 , error before = 19089.355353 , error next = 19089.355494 , error change = -0.000141 , lambda = 2.000000 , time consumption = 0.463182s

successful step! iteration = 2774 , error before = 19089.355353 , error next = 19089.355242 , error change = 0.000110 , lambda = 0.200000 , time consumption = 0.463680s

unsuccessful step! iteration = 2775 , error before = 19089.355242 , error next = 19089.355382 , error change = -0.000139 , lambda = 2.000000 , time consumption = 0.462264s

successful step! iteration = 2776 , error before = 19089.355242 , error next = 19089.355133 , error change = 0.000109 , lambda = 0.200000 , time consumption = 0.484044s

unsuccessful step! iteration = 2777 , error before = 19089.355133 , error next = 19089.355271 , error change = -0.000138 , lambda = 2.000000 , time consumption = 0.464684s

successful step! iteration = 2778 , error before = 19089.355133 , error next = 19089.355025 , error change = 0.000108 , lambda = 0.200000 , time consumption = 0.465537s

unsuccessful step! iteration = 2779 , error before = 19089.355025 , error next = 19089.355161 , error change = -0.000136 , lambda = 2.000000 , time consumption = 0.474643s

successful step! iteration = 2780 , error before = 19089.355025 , error next = 19089.354919 , error change = 0.000107 , lambda = 0.200000 , time consumption = 0.463983s

unsuccessful step! iteration = 2781 , error before = 19089.354919 , error next = 19089.355053 , error change = -0.000134 , lambda = 2.000000 , time consumption = 0.462088s
